YEAR,PERIODE,AIRCRAFT TYPE,FLIGHT NUMBER_CITYPAIR,SERVICE TYPE,SUB-SERVICE,ROUNDTRIPROUTE,FLIGHT ROUTE,AC REG,Region,QUARTER,GA Service,AIRCRAFT TYPE GROUPING
,,,GA0605.KDI-UPG-CGK.[KDI-CGK],,,,CGK-SHA,,,,,
,,,GA0605.KDI-UPG-CGK.[KDI-UPG],,,,PNK-CGK,,,,,
,,,GA0605.KDI-UPG-CGK.[UPG-CGK],,,,SIN-SUB,,,,,
,,,GA0606.CGK-MDC.[CGK-MDC],,,,DPS-MDC-TYO,,,,,
,,,GA0607.MDC-CGK.[MDC-CGK],,,,TYO-MDC-DPS,,,,,
,,,GA0608.CGK-UPG-PLW.[CGK-PLW],,,,SUB-SIN,,,,,
,,,GA0608.CGK-UPG-PLW.[CGK-UPG],,,,MED-CGK,,,,,
,,,GA0608.CGK-UPG-PLW.[UPG-PLW],,,,PKY-CGK,,,,,
,,,GA0609.PLW-UPG-CGK.[PLW-CGK],,,,CGK-PKY,,,,,
,,,GA0609.PLW-UPG-CGK.[PLW-UPG],,,,CGK-MED,,,,,
,,,GA0609.PLW-UPG-CGK.[UPG-CGK],,,,TNJ-CGK,,,,,
,,,GA0616.CGK-UPG.[CGK-UPG],,,,CGK-HKG,,,,,
,,,GA0617.UPG-CGK.[UPG-CGK],,,,HKG-CGK,,,,,
,,,GA0617.UPG-CGK.[UPG-UPG],,,,CGK-TNJ,,,,,
,,,GA0622.CGK-PLW.[CGK-PLW],,,,BIK-DJJ,,,,,
,,,GA0622.CGK-PLW.[CGK-CGK],,,,DJJ-TIM,,,,,
,,,GA0622.CGK-PLW.[BPN-PLW],,,,DJJ-BIK,,,,,
,,,GA0622.CGK-PLW.[CGK-BPN],,,,MKQ-DJJ,,,,,
,,,GA0623.PLW-CGK.[PLW-CGK],,,,TIM-DJJ,,,,,
,,,GA0640.CGK-UPG.[CGK-UPG],,,,MED-JED-CGK,,,,,
,,,GA0641.UPG-CGK.[UPG-CGK],,,,DJJ-MKQ,,,,,
,,,GA0642.CGK-UPG-GTO.[CGK-GTO],,,,DPS-SOQ,,,,,
,,,GA0642.CGK-UPG-GTO.[CGK-UPG],,,,JED-BTJ,,,,,
,,,GA0642.CGK-UPG-GTO.[UPG-GTO],,,,BTJ-JED,,,,,
,,,GA0643.GTO-UPG-CGK.[GTO-CGK],,,,UPG-KDI,,,,,
,,,GA0643.GTO-UPG-CGK.[GTO-UPG],,,,KDI-UPG,,,,,
,,,GA0643.GTO-UPG-CGK.[UPG-CGK],,,,MED-JED,,,,,
,,,GA0644.CGK-GTO.[CGK-GTO],,,,UPG-DPS,,,,,
,,,GA0645.GTO-CGK.[GTO-CGK],,,,SOQ-DPS,,,,,
,,,GA0648.CGK-TTE.[CGK-TTE],,,,CGK-DOH,,,,,
,,,GA0649.TTE-CGK.[TTE-CGK],,,,DOH-CGK,,,,,
,,,GA0656.CGK-DJJ.[CGK-DJJ],,,,MDC-UPG,,,,,
,,,GA0657.DJJ-CGK.[DJJ-CGK],,,,UPG-MDC,,,,,
,,,GA0682.CGK-SOQ.[CGK-SOQ],,,,AMI-DPS,,,,,
,,,GA0683.SOQ-CGK.[SOQ-CGK],,,,DPS-AMI,,,,,
,,,GA0712.CGK-SYD.[CGK-SYD],,,,PDG-HLP,,,,,
,,,GA0713.SYD-CGK.[SYD-CGK],,,,CGK-KOE,,,,,
,,,GA0714.DPS-SYD.[DPS-SYD],,,,KOE-CGK,,,,,
,,,GA0714.DPS-SYD.[DPS-DPS],,,,HLP-SUB,,,,,
,,,GA0715.SYD-DPS.[SYD-DPS],,,,HLP-MES,,,,,
,,,GA0820.CGK-KUL.[CGK-KUL],,,,HLP-PDG,,,,,
,,,GA0821.KUL-CGK.[KUL-CGK],,,,MES-HLP,,,,,
,,,GA0828.CGK-SIN.[CGK-SIN],,,,SUB-HLP,,,,,
,,,GA0832.CGK-SIN.[CGK-SIN],,,,UPG-TTE,,,,,
,,,GA0832.CGK-SIN.[CGK-CGK],,,,BPN-DPS,,,,,
,,,GA0836.CGK-SIN.[CGK-SIN],,,,BPN-UPG,,,,,
,,,GA0837.SIN-CGK.[SIN-CGK],,,,UPG-BPN,,,,,
,,,GA0842.DPS-SIN.[DPS-SIN],,,,DPS-BPN,,,,,
,,,GA0843.SIN-DPS.[SIN-DPS],,,,TTE-UPG,,,,,
,,,GA0866.CGK-BKK.[CGK-BKK],,,,,,,,,
,,,GA0867.BKK-CGK.[BKK-CGK],,,,,,,,,
,,,GA0874.CGK-HND.[CGK-HND],,,,,,,,,
,,,GA0875.HND-CGK.[HND-CGK],,,,,,,,,
,,,GA0878.CGK-ICN.[CGK-ICN],,,,,,,,,
,,,GA0879.ICN-CGK.[ICN-CGK],,,,,,,,,
,,,GA0898.CGK-CAN.[CGK-CAN],,,,,,,,,
,,,GA0898.CGK-CAN.[CGK-CGK],,,,,,,,,
